Date,Military Time,Isolate ID,PCR Date,Pyro Machine,Well,DispSeq,Tech,Region,Pyromark File Name (Machine #-date-military time),Fwd Primer,Rev Primer,Seq Primer
4/15/2011,,Pg-012,4/14/2011,1,C2,ModTCGA-1c,VanderKelen,16-23,041511 16-23 F as S cw pg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-001,4/18/2011,1,A1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-002,4/18/2011,1,A2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-003,4/18/2011,1,A3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-004,4/18/2011,1,A4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-005,4/18/2011,1,A5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-006,4/18/2011,1,A6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-007,4/18/2011,1,A7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-008,4/18/2011,1,A8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-009,4/18/2011,1,B1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-010,4/18/2011,1,B2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-011,4/18/2011,1,B3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-012,4/18/2011,1,B4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-013,4/18/2011,1,B5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-014,4/18/2011,1,B6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-015,4/18/2011,1,B7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Ct-016,4/18/2011,1,B8,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-001,4/18/2011,1,C1,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-002,4/18/2011,1,C2,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-003,4/18/2011,1,C3,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-004,4/18/2011,1,C4,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-005,4/18/2011,1,C5,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-006,4/18/2011,1,C6,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
4/19/2011,,Dg-007,4/18/2011,1,C7,ModTCGA-1c,VanderKelen,16-23,041911 16-23 F as S ct dg,16-23 ITS-F,16-23 ITS-R-Biotin,16-23 ITS-F
